Transaction_ID,Customer_ID,Transaction_Date,Amount,Payment_Method,Payment_Status,Failure_Reason,Customer_Age,Customer_Type,Previous_Successful_Payments,Previous_Failed_Payments,Retry_Count,Device_Type,Location,Hour,Day,Recovery_Outcome
TX100000,CUST2824,2025-01-01 00:00:00.000000,1093.04,UPI,Success,None,57,New,6,3,2,iOS,Ahmedabad,0,Wednesday,Not Required
TX100001,CUST1409,2025-01-01 00:17:27.188943,579.25,UPI,Success,None,49,Regular,8,5,1,iOS,Jaipur,0,Wednesday,Not Required
TX100002,CUST5506,2025-01-01 00:34:54.377887,1271.16,Net Banking,Success,None,50,Regular,7,0,0,Android,Bangalore,0,Wednesday,Not Required
TX100003,CUST5012,2025-01-01 00:52:21.566831,3050.41,Wallet,Success,None,48,New,7,3,2,iOS,Hyderabad,0,Wednesday,Not Required
TX100004,CUST4657,2025-01-01 01:09:48.755775,526.29,UPI,Failed,Limit Exceeded,55,New,9,0,1,Android,Ahmedabad,1,Wednesday,Recovered
TX100005,CUST3286,2025-01-01 01:27:15.944718,526.3,UPI,Failed,Insufficient Funds,24,Regular,6,1,1,Android,Kolkata,1,Wednesday,Not Recovered
TX100006,CUST2679,2025-01-01 01:44:43.133662,3226.69,UPI,Success,None,50,New,6,0,0,Android,Pune,1,Wednesday,Not Required
TX100007,CUST9935,2025-01-01 02:02:10.322606,1432.87,Net Banking,Success,None,57,Premium,5,1,2,Android,Bangalore,2,Wednesday,Not Required
TX100008,CUST2424,2025-01-01 02:19:37.511550,415.93,UPI,Success,None,50,Regular,7,2,1,Android,Hyderabad,2,Wednesday,Not Required
TX100009,CUST7912,2025-01-01 02:37:04.700494,1144.31,UPI,Success,None,45,Regular,2,1,0,Android,Delhi,2,Wednesday,Not Required
TX100010,CUST1520,2025-01-01 02:54:31.889437,418.46,UPI,Success,None,49,Regular,3,2,0,iOS,Chennai,2,Wednesday,Not Required
TX100011,CUST1488,2025-01-01 03:11:59.078381,417.49,Net Banking,Success,None,26,Regular,8,0,2,Android,Pune,3,Wednesday,Not Required
TX100012,CUST2535,2025-01-01 03:29:26.267325,847.22,Debit Card,Success,None,35,New,7,1,3,iOS,Mumbai,3,Wednesday,Not Required
TX100013,CUST4582,2025-01-01 03:46:53.456269,98.17,Credit Card,Success,None,33,New,6,0,0,iOS,Mumbai,3,Wednesday,Not Required
TX100014,CUST4811,2025-01-01 04:04:20.645212,118.52,Debit Card,Success,None,56,Regular,10,0,2,Android,Jaipur,4,Wednesday,Not Required
TX100015,CUST9279,2025-01-01 04:21:47.834156,379.07,Debit Card,Success,None,54,New,6,0,0,iOS,Kolkata,4,Wednesday,Not Required
TX100016,CUST1434,2025-01-01 04:39:15.023100,241.57,Debit Card,Success,None,42,Regular,8,1,1,iOS,Mumbai,4,Wednesday,Not Required
TX100017,CUST4257,2025-01-01 04:56:42.212044,910.73,UPI,Success,None,50,New,12,0,0,Android,Nagpur,4,Wednesday,Not Required
TX100018,CUST9928,2025-01-01 05:14:09.400988,268.27,Credit Card,Failed,Bank Error,38,Regular,8,4,2,iOS,Bangalore,5,Wednesday,Recovered
TX100019,CUST7873,2025-01-01 05:31:36.589931,162.02,Debit Card,Failed,Network Error,28,Premium,10,2,2,iOS,Nagpur,5,Wednesday,Recovered
TX100020,CUST4611,2025-01-01 05:49:03.778875,2880.3,Credit Card,Failed,Network Error,40,Regular,7,4,2,iOS,Mumbai,5,Wednesday,Recovered
TX100021,CUST8359,2025-01-01 06:06:30.967819,530.71,UPI,Success,None,38,Regular,9,3,3,Android,Mumbai,6,Wednesday,Not Required
TX100022,CUST5557,2025-01-01 06:23:58.156763,711.61,UPI,Failed,Card Expired,56,Regular,7,1,0,iOS,Mumbai,6,Wednesday,Recovered
TX100023,CUST1106,2025-01-01 06:41:25.345706,160.01,Wallet,Success,None,28,Regular,6,4,2,Android,Chennai,6,Wednesday,Not Required
TX100024,CUST3615,2025-01-01 06:58:52.534650,385.92,Debit Card,Failed,Card Expired,50,Regular,10,3,3,iOS,Mumbai,6,Wednesday,Not Recovered
